http://kanji-database.sourceforge.net/variants/similar-chars.html
ＵＣＳ類似漢字一覧表



𣎟	2339F	【大漢和】14404 𣎟、姓也
𦠅	26805	【大漢和】29868 古姓也29868
㐅	03405	【大漢和】115
乂	04E42	【康煕】芟草也治也【大漢和】111
乄	04E44	【大漢和】116
㒌	0348C	【康煕】煢古字【大漢和】1136
𠎽	203BD	【康煕】同嬛【大漢和】1184
㒰	034B0	【康煕】同全
仝	04EDD	【康煕】同同
㓘	034D8	【大漢和】1786
𤥔	24954	【大漢和】20995
㓝	034DD	【説文】罰辠也
刑	05211	【説文】剄也
㕚	0355A	【康煕】古爪字
叉	053C9	【康煕】音嗏交手
㕣	03563	【大漢和】3243
𠮦	20BA6	【大漢和】3268
㚒	03692	【大漢和】5868 （物を盗んで）かくす。
夾	0593E	【大漢和】5867 ものを挟んで持つ
㚥	036A5	【大漢和】6059
奸	05978	【大漢和】6045
㞋	0378B	【大漢和】7637
𠬝	20B1D	【大漢和】7637
㞷	037B7	【大漢和】4929 封古字
𡉚	2125A	【大漢和】7840 㞷、音皇、草木妄生也
㢟	0389F	【康煕】音川安歩
延	05EF6	【康煕】音沿長也
𢌛	2231B	【康煕】音貞行也
𨒂	28482	？
𨒌	2848C	【康煕】古文征字
㬶	03B36	【N2644】moon
𦛩	266E9	【N2644】meat
㬺	03B3A	部首は肉
幐	05E50	部首は巾（𦩫の簡単化）
㬻	03B3B	【大漢和】14390
䐠	04420	【大漢和】29761
㭄	03B44	【康煕】惻人切音瞋木名
杋	0674B	【康煕】扶嚴切凡木名
㱳	03C73	【大漢和】16552
𡖶	215B6	【大漢和】16552
㱳	03C73	【大漢和】5804
𡖶	215B6	【大漢和】5804
䀍	0400D	【大漢和】23103
𧗜	275DC	【大漢和】23103
䆥	041A5	【大漢和】25541 同賓
𡩙	21A59	【大漢和】7250 古文家
䏙	043D9	【大漢和】29321 䏙、肉汁滓也
䏙	2F8D7	【大漢和】14344 䏙、月落有明也
䏢	043E2	【大漢和】22838 同𤿚
䏢	043E2	【大漢和】29383 肉也
䐋	0440B	【大漢和】29639 䐋、病也
䐋	2F984	【大漢和】46642 䐋、赤色
䚾	046BE	【大漢和】35308 䚾念也
𧥶	27976	【大漢和】35289 同𧪴省
䪶	04AB6	【大漢和】43392
𩑰	29470	【大漢和】43392
䭵	04B75	【康煕】符炎切音凡馬行貌
𩡰	29870	【康煕】博考切音保驄馬也
䭹	04B79	【大漢和】44620 䭹䭹、馬怒皃
𩢞	2989E	【大漢和】44785 𩢞、馬白腹也
䲫	04CAB	【大漢和】46681
𡰎	21C0E	【大漢和】7613
