(2, 1<<1^1, [2])
(3, 1<<2^1, [2])
(4, 3<<2^1, [2, 2])
(5, 1<<4^1, [3])
(6, 5<<3^1, [3, 2])
(7, 3<<5^1, [5, 2])
(8, 3<<6^1, [5, 2])
(9, 1<<8^1, [3])
(10, 3<<8^1, [7, 2])
(11, 9<<7^1, [5, 2])
(12, 13<<8^1, [3, 2])
(13, 15<<9^1, [13, 2])
(14, 3<<12^1, [22, 2])
(15, 9<<11^1, [10, 2])
(16, 5<<13^1, [6, 2])
(17, 1<<16^1, [6])
(18, 5<<15^1, [6, 2])
(19, 33<<13^1, [10, 2])
(20, 3<<18^1, [10, 2])
(21, 9<<17^1, [38, 2])
(22, 21<<17^1, [10, 2])
(23, 7<<20^1, [6, 2])
(24, 13<<20^1, [3, 5])
(25, 11<<21^1, [6, 2])
(26, 69<<19^1, [10, 2])
(27, 25<<22^1, [6, 2])
(28, 5<<25^1, [3, 3])
(29, 7<<26^1, [6, 2])
(30, 45<<24^1, [22, 2])
(31, 15<<27^1, [22, 2])
(32, 3<<30^1, [10, 2])
(33, 59<<27^1, [6, 2])
(34, 23<<29^1, [6, 2])
(35, 45<<29^1, [14, 2])
(36, 49<<30^1, [6, 2])
(37, 9<<33^1, [14, 2])
(38, 3<<36^1, [22, 2])
(39, 73<<32^1, [6, 2])
(40, 99<<33^1, [26, 2])
(41, 15<<37^1, [14, 2])
(42, 5<<39^1, [3, 3])
(43, 3<<41^1, [5, 5])
(44, 63<<38^1, [10, 2])
(45, 27<<40^1, [10, 2])
(46, 9<<42^1, [10, 2])
(47, 9<<43^1, [10, 2])
(48, 15<<44^1, [14, 2])
(49, 27<<44^1, [10, 2])
(50, 63<<44^1, [22, 2])
(51, 19<<46^1, [6, 2])
(52, 15<<48^1, [22, 2])
(53, 7<<50^1, [6, 2])
(54, 23<<49^1, [6, 2])
(55, 7<<52^1, [6, 2])
(56, 17<<51^1, [6, 2])
(57, 25<<52^1, [6, 2])
(58, 5<<55^1, [6, 2])
(59, 51<<53^1, [10, 2])
(60, 49<<54^1, [6, 2])
(61, 27<<56^1, [10, 2])
(62, 29<<57^1, [3, 3])
(63, 87<<56^1, [10, 2])
(64, 27<<59^1, [10, 2])
(65, 31<<60^1, [6, 2])
(66, 45<<60^1, [22, 2])
(67, 9<<63^1, [10, 2])
(68, 3<<66^1, [10, 2])
(69, 9<<65^1, [38, 2])
(70, 75<<63^1, [14, 2])
(71, 9<<67^1, [5, 7])
(72, 33<<66^1, [10, 2])
(73, 31<<68^1, [6, 2])
(74, 23<<69^1, [6, 2])
(75, 221<<67^1, [6, 2])
(76, 39<<70^1, [10, 2])
(77, 39<<71^1, [10, 2])
(78, 5<<75^1, [3, 3])
(79, 39<<73^1, [34, 2])
(80, 29<<75^1, [6, 2])
(81, 67<<74^1, [6, 2])
(82, 15<<78^1, [22, 2])
(83, 25<<78^1, [6, 2])
(84, 145<<76^1, [6, 2])
(85, 9<<81^1, [14, 2])
(86, 13<<82^1, [6, 2])
(87, 249<<79^1, [10, 2])
(88, 5<<85^1, [6, 2])
(89, 51<<83^1, [22, 2])
(90, 37<<84^1, [6, 2])
(91, 53<<85^1, [6, 2])
(92, 65<<85^1, [6, 2])
(93, 87<<86^1, [14, 2])
(94, 61<<88^1, [6, 2])
(95, 7<<92^1, [6, 2])
(96, 57<<90^1, [46, 2])
(97, 27<<92^1, [10, 2])
(98, 29<<93^1, [6, 2])
(99, 33<<93^1, [10, 2])
(100, 43<<94^1, [6, 2])
(101, 85<<94^1, [6, 2])
(102, 57<<96^1, [10, 2])
(103, 121<<96^1, [6, 2])
(104, 43<<98^1, [6, 2])
(105, 131<<97^1, [6, 2])
(106, 315<<97^1, [22, 2])
(107, 219<<99^1, [10, 2])
(108, 29<<103^1, [6, 2])
(109, 67<<102^1, [6, 2])
(110, 43<<104^1, [6, 2])
(111, 53<<105^1, [6, 2])
(112, 37<<106^1, [6, 2])
(113, 231<<105^1, [10, 2])
(114, 105<<107^1, [22, 2])
(115, 93<<108^1, [14, 2])
(116, 15<<112^1, [14, 2])
(117, 73<<110^1, [6, 2])
(118, 95<<111^1, [6, 2])
(119, 129<<111^1, [10, 2])
(120, 153<<112^1, [14, 2])
(121, 115<<114^1, [6, 2])
(122, 163<<114^1, [6, 2])
(123, 7<<120^1, [3, 3])
(124, 33<<118^1, [10, 2])
(125, 51<<119^1, [22, 2])
(126, 71<<119^1, [6, 2])
(127, 177<<119^1, [10, 2])
(128, 81<<121^1, [10, 2])
