
#Representable Numbers with 0 Small Step Chains
-2 1* 1  @(p)

#Representable Numbers with 1 Small Step Chains
-1 2* 2  @(p)+@(q)

#Representable Numbers with 2 Small Step Chains
 0 3* 3  @(p)+@(q)+@(r)
 1 4* 1  @(p)+@(p-5)+@(p-6)+@(p-7)
 2 4* 2  @(p)+@(p-3)+@(q)+@(q-1)
 3 4* 3  @(p)+@(q)+@(r)+@(-p+q+r)
 4 4* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)

#Representable Numbers with 3 Small Step Chains
  5 4* 4  @(p)+@(q)+@(r)+@(s)
  6 5* 1  @(p)+@(p-8)+@(p-12)+@(p-13)+@(p-14)
  7 5* 1  @(p)+@(p-8)+@(p-10)+@(p-11)+@(p-14)
  8 5* 2  @(p)+@(p-7)+@(q)+@(q-1)+@(q-3) ,q>=4
  9 5* 1  @(p)+@(p-6)+@(p-9)+@(p-11)+@(p-12)
 10 5* 2  @(p)+@(p-6)+@(q)+@(q-2)+@(q-4)
 11 5* 2  @(p)+@(p-6)+@(q)+@(q-1)+@(q-3)
 12 5* 2  @(p)+@(p-6)+@(q)+@(q-1)+@(q-2)
 13 5* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)
 14 5* 2  @(p)+@(p-5)+@(q)+@(q-2)+@(q-3)
 15 5* 2  @(p)+@(p-5)+@(q)+@(q-1)+@(q-2)
 16 5* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)
 17 5* 3  @(p)+@(p-3)+@(q)+@(r)+@(r-1)
 18 5* 3  @(p)+@(p-1)+@(q)+@(r)+@(-p+q+r-1)
 19 5* 2  @(p)+@(q)+@(q-2)+@(q-3)+@(q-4) ,p>=6
 20 5* 3  @(p)+@(q)+@(q-2)+@(r)+@(r-1) ,p-q>=2
 21 5* 2  @(p)+@(q)+@(q-1)+@(q-2)+@(p-6)
 22 5* 2  @(p)+@(q)+@(q-1)+@(q-2)+@(p-5)
 23 5* 3  @(p)+@(q)+@(q-1)+@(r)+@(r-2) ,p-q>=3
 24 5* 3  @(p)+@(q)+@(q-1)+@(r)+@(-p+q+r+2)
 25 5* 3  @(p)+@(q)+@(-p+2q-2)+@(r)+@(-p+q+r-1)
 26 5* 3  @(p)+@(q)+@(r)+@(-p+2q-2)+@(-p+q+r-1)
 27 5* 3  @(p)+@(q)+@(r)+@(r-1)+@(-p+q+r+2)
 28 5* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)
 29 5* 3  @(p)+@(q)+@(r)+@(-p+q+r-1)+@(-p+2r-2)
 30 5* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)
 31 5* 3  @(p)+@(q)+@(r)+@(-p+q+r+2)+@(-2p+2q+r+1)
 32 5* 3  @(p)+@(q)+@(r)+@(-p+q+r+2)+@(-2p+q+2r+1)
 33 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)
 34 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)
 35 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s)
 36 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+s+1)
 37 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+r+s)
 38 5* 4  @(p)+@(q)+@(r)+@(s)+@(-p+r+s+1)
 39 5  4  @(p)+@(q)+@(r)+@(s)+@(-q+r+s)
 40 6* 1  @(p)+@(p-7)+@(p-8)+@(p-11)+@(p-12)+@(p-13)
 41 6* 1  @(p)+@(p-7)+@(p-8)+@(p-9)+@(p-10)+@(p-13)
 42 6* 2  @(p)+@(p-7)+@(q)+@(q-3)+@(q-4)+@(q-5) ,q>=6
 43 6* 2  @(p)+@(p-7)+@(q)+@(q-2)+@(q-4)+@(q-5)
 44 6* 2  @(p)+@(p-7)+@(q)+@(q-2)+@(q-3)+@(q-4)
 45 6* 2  @(p)+@(p-7)+@(q)+@(q-1)+@(q-4)+@(q-5)
 46 6* 2  @(p)+@(p-7)+@(q)+@(q-1)+@(q-3)+@(q-4)
 47 6* 2  @(p)+@(p-7)+@(q)+@(q-1)+@(q-2)+@(q-3)
 48 6* 2  @(p)+@(p-6)+@(q)+@(q-3)+@(q-4)+@(q-5)
 49 6* 2  @(p)+@(p-6)+@(q)+@(q-2)+@(q-4)+@(q-6)
 50 6* 2  @(p)+@(p-6)+@(q)+@(q-2)+@(q-3)+@(q-5)
 51 6* 2  @(p)+@(p-6)+@(q)+@(q-1)+@(q-4)+@(q-5)
 52 6* 2  @(p)+@(p-6)+@(q)+@(q-1)+@(q-3)+@(q-4)
 53 6* 2  @(p)+@(p-6)+@(q)+@(q-1)+@(q-2)+@(q-3)
 54 6* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-3)
 55 6* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-2)
 56 6* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-1)
 57 6* 2  @(p)+@(p-5)+@(q)+@(q-3)+@(q-4)+@(q-5)
 58 6* 2  @(p)+@(p-5)+@(q)+@(q-2)+@(q-4)+@(q-5)
 59 6* 2  @(p)+@(p-5)+@(q)+@(q-2)+@(q-3)+@(q-4)
 60 6* 2  @(p)+@(p-5)+@(q)+@(q-1)+@(q-3)+@(q-4)
